Scoop up water	㧾水
I think some movie stars who aren't very attractive claim their ages are younger than they really are.	我覺得有啲唔係好起眼嘅明星將自己嘅年齡報細數。
I've had the experience of shaving my pubic hair, but the feeling after doing that was uncomfortable. It was quite scratchy and itchy.	我試過剃恥毛，但之後嘅感覺唔舒服，好㓤同好痕。
Whatever things I have done for her, my girlfriend always feels I'm annoying her.	我試過為佢做過好多嘢嘞，條女仲係覺得我煩住佢。
I've recently heard the news that not a few small and mid-sized real estate agencies can't survive and must close down.	早排經已聽聞唔少中小型地產代理行捱唔住要摺埋。
Everyone looks for me when anything happens, yet I am not experienced in handling such things, so I get really flustered with the difficulties.	有事個個都嚟搵我，我又冇經驗，真係𢲡手唔成勢。
Someone said he is a traitor, so of course our leader has told some followers to go hunt everywhere for him.	有人話，佢係個二五仔，當然大佬叫啲馬仔刮友囉。
Some classmates want to pool money together to invite the teacher to have a meal, it's about a hundred dollars per person.	有啲同學想夾返錢請老師食飯，每人一百蚊咁上下。
Some pretty young girls in the entertainment field have all said they need to go abroad to look for opportunities to develop their careers.	有啲娛樂圈中嘅後生靚女，都話要出埠搵發展機會。
Some worthless young guys want to die. When they drive a car they then fool around like that.	有啲𡃁仔唔識寫個死字，佢哋揸車時就係噉玩法㗎。
Sometimes we like to play mahjong with gambling for small stakes. We play only for ten to twenty cents or so.	有時我哋鍾意打衞生麻雀，淨係打一兩毫子咁上下。
Sometimes after I've finished peeing I'll pee-shiver. If somebody sees me do that I feel a little embarrassed.	有時我屙完尿會打尿震，俾人見到都有啲唔好意思。
Sometimes when the train is very crowded some bad men take advantage of the opportunity to touch women's breasts.	有時火車好逼嗰陣，有啲衰男人會趁機會胸襲女性。
A wealthy man falls in love with a whore? How come the storyline of that new movie sounds so familiar to me?	有錢佬愛上邪牌？套新戲嘅情節好似熟口熟面噉嘅？
Originally the planning was fine, but who would know that after the matter was handed over to him, he then made a mess of things.	本來計劃得好哋哋，點知佢一接手，就攪到一鑊泡。
That magazine even includes their whispered conversation? They must have made it up.	本雜誌寫埋佢哋咬耳仔時講嘅嘢？呢啲實係老作啦。
According to the regulation, a person receiving Comprehensive Social Security Assistance cannot leave Hong Kong for more than 56 days in one year.	根據規定攞綜援嘅人一年唔可以離港超過五十六日。
Not long after the prostitute entered the room the people outside heard a man cry out and moan as he ejaculated.	條鷄入咗閘冇幾耐出便啲人就聽到個男人爆漿叫牀。
Every year on Lunar New Year's Eve I will go to the Flower Market, and buy a blossoming peach tree and bring it back home.	每一年我都會响年卅晚行花市，買番樖桃花返屋企。
The boss keeps a wooden face all the time, so we don't know what he's thinking about.	波士成日都保持木口木面，我哋都唔知佢諗緊啲乜。
The boss says several people took sick leave, so he needs to find some replacement workers.	波士話有幾個人請病假，所以要搵啲人嚟坐飛機位。
No matter whether it was her boyfriend or her husband, everybody must all obey her, and fully accommodate her.	無論係佢男朋友，老公，全部都要廳佢話，就晒佢。
I got away right after the explosion. To my surprise I still got hurt, but fortunately it was just a slight injury.	爆炸時我立即跳開，點知都揩嘢，不過好彩係輕傷。
The father had bought a wristwatch for his young son, and now he's so happy he's grinning from ear to ear.	爸爸買咗隻手錶畀仔仔，而家佢開心到見牙唔見眼。
The electronic card-reading device at the soccer pitch has been out of order for a month. Nobody has paid attention to it. It's really quite annoying	球場部嘟嘟機壞咗一個月，都冇人理，真係好激氣！
Yesterday you forgot to punch your time card, so will the boss mistakenly think you didn't come to work?	琴日你唔記得打咭，會唔會俾波士誤會你冇返工呢？
Yesterday I got my hair cut in Shenzhen. It was only twenty dollars to wash, cut, and blow-dry my hair! It's really quite cheap!	琴日我喺深圳剪髮，二十蚊洗剪恤咋！真係好平㗎！
Yesterday my cat bit my hand. As he was biting me a tooth of his fell out into my hand.	琴日我隻貓咬我隻手，咬咬吓甩咗隻牙落我隻手度。
Last night he and his girlfriend drove to a secluded place in Sai Kung and had sex in the car.	琴晚佢同女朋友揸車去西貢一個偏僻嘅地方攪車震。
Last night I didn't turn on the air conditioning, so then this morning my two sons were soaking wet.	琴晚我都冇開冷氣啊，今朝兩個仔就成隻濕水雞噉。
Speaker A says, You don't need to get angry. We can calmly discuss it, Speaker B replies, Discuss your mother!	甲話，我哋慢慢傾啦，你唔使嬲！乙答，傾你老母！
Every time my boyfriend does it with me he wears a condom, as he doesn't want me to take so many pills into my stomach.	男友同我做嘢次次都戴套，唔想我食咁多藥丸落肚。
That's really strange! Just now I put it right here, so why had it disappeared in such a short time?	真係奇喇！頭先我仲放喺度，點解一陣間就唔見咗？
Ford's Mustang has an awesome history. It was used in the Hollywood movie The Fast and the Furious	福特野馬有威水史，曾參與荷李活電影《狂野時速》
Younger sister asks mommy, Has pappy gone to work? When is pappy coming back?	細妹問媽咪，爸B係咪返咗工啊？爸B幾時返嚟㗎？
The teacher falsely accused me of fighting. In fact I was only using very little force to play around with my friend.	老師屈我話打交，其實我淨係同朋友好細力玩吓啫。
Chan was really caught in the act this time, as he was seen by his wife leaving a hotel with his mistress.	老陳今次真係斷正，俾老婆見到佢同情婦離開酒店。
Nowadays kids don't like to play marbles, they like to play computer games.	而家啲細路仔唔鍾意打波子，佢哋鍾意玩電腦遊戲。
Now some colleagues are very unhappy, and say our newly-arrived boss shows favoritism.	而家有啲同事好唔高興，話我哋新嚟嘅波士大細超。
Rather than being so focused on figuring out other people's intentions, you had better put out more effort in doing your work.	與其花咁多心思捉用神，不如畀多啲心機去做嘢啦。
Last year I had several stocks perform poorly, so I want to get rid of some blue chip stocks.	舊年有幾隻股份表現唔好，所以我想叮走啲藍籌股。
The defendant said he would pay me hush money. The condition was that I would not reveal the matter.	被告話會畀筆揞口費我，條件係唔好將單嘢爆出嚟。
Defendant, I now put it to you that you have rehearsed your testimony with your wife. Is that correct?	被告，我而家講，你係同你老婆夾口供嘅，係唔係？
When they saw that the renovation business could make money easily, many people went into this line of work, so nowadays the situation has become difficult and competitive.	見裝修好搵就個個踩隻腳埋嚟，變咗而家做到爛市。
The police know that outside the pai kau gambling den there is a lookout who is keeping watch all night long.	警察知道喺個牌九賭檔出便都有個天文台通宵睇水。
The police have already succeeded in dealing a blow to the illegal activity of these two triad societies in this area.	警方經已成功打擊呢兩個黑社會喺呢區嘅非法活動。
Although the police catch the drug addicts every day, yet how can they get rid of those people completely?	警方雖然成日捉啲老同，但嗰啲人點會咁易趕絕吖？
The pork butcher says income isn't much and benefits are also quite poor, so he doesn't want the next generation to go into the trade.	豬肉佬話收入唔多同福利都好差，唔想下一代入行。
We would definitely make money by buying at the spot price, and selling the three-month futures through arbitrage.	買入現貨，賣出三個月期貨嚟套戥，我哋實賺錢啦。
Being a member of a military brass band is a good job as you don't need to risk your life.	軍隊入面嘅銀樂隊係油水位嚟，唔使攞條命搏吖嘛。
The debt collector said there's a wastrel in my family, and he borrowed money from a finance company and won't pay it back.	追數佬話我家有個敗家仔，喺間財務公司借錢唔還。
As the old saying goes, the grass is greener on the other side of the fence, so that's why I want to go abroad to study at a university.	開講都有話，本地薑唔辣，所以我想去外國讀大學。
A group of pretty girls hang around here at the bar, and naturally they attract carousers who come in large numbers.	間酒吧有班靚女喺度打躉，自然吸引唔少蒲友捧場。
My baby is already fifteen days old, but he still can't leave the hospital. I'm feeling quite hopeless for my baby.	阿B已經十五日大，但仲未出得院，我好失望BB。
Grandma is hard of hearing, so we all must speak more loudly in order for her to hear.	阿嫲係撞聾㗎，所以我哋都要講大聲啲佢先至聽到。
To me it seems rather camp for a handsome boy to wear a pink shirt.	靚仔着件粉紅色裇衫好似camp camp哋喎。
Just now he saw his girlfriend chatting with me, and now he is acting like he is quite jealous.	頭先佢見到女朋友同我傾偈，而家佢好似好呷醋噉。
Quite obviously just now the salesperson tried to give me his big sales pitch to sell those things to me.	頭先個職員好明顯係想同我落嘴頭賣嗰啲嘢俾我啦。
Just now I saw a private car crash into a shopfront. I don't know if anyone was injured.	頭先我見到架私家車撞毀個舖面，唔知有冇人受傷。
Hongkongers also quite like eating popcorn and watching a movie. It's because it's convenient and tastes quite good.	香港人都好鍾意食住爆穀睇戲，因爲方便同幾好食。
Hongkongers also quite like eating popcorn and watching a movie. It's because it's convenient and tastes quite good.	香港人都好鍾意食住爆谷睇戲，因爲方便同幾好食。
Mahjong has had some major changes. The greatest one is naturally the invention of the automatic mahjong table!	麻雀有啲大變身，最勁嘅梗係自動麻雀枱嘅發明啦！
My baby's anus has developed a fleshy growth on it, when he goes to potty his crying is quite fierce.	BB生咗粒肉粒喺屎眼嗰度，佢去便便時喊得好犀利。
My baby's anus has developed a fleshy growth on it. When he goes to potty his crying is quite fierce.	BB生咗粒肉粒喺屎眼嗰度，佢去便便時喊得好犀利。
After mid-day stock prices had recovered and the Hang Seng Index rose so that the market closed at the day's high.	中午過後大市回穩，恆生指數回升以全日最高點收市。
Ms. Shopowner, one potato you sell is even more expensive than a chicken sold at the next stall, so it's such a rip-off here!	事頭婆，你一個薯仔仲貴過隔籬檔嘅一隻雞，掠水咩？
A traffic policeman had already arrived, and had stopped his police motorcycle next to the damaged car with its warning light blinking.	交通差經已到咗，停咗隻鐵馬喺壞車旁邊閃緊警告燈。
This year the economy is in a downturn, so this factory's manager has decided to reduce the workforce through attrition.	今年經濟不警，所以呢間工廠嘅經理決定自然流失㗎。
This morning I was asked by a gweilo how to walk to Man Mo Temple. The result was I didn't know how to answer him.	今朝俾個鬼佬問我文武廟點行，我結果唔知點答佢好。
This morning I said some bad-sounding things to my husband, and now I feel quite uneasy about it.	今朝我對老公講咗啲唔好聽嘅嘢，而家個心好唔安樂。
This time you really have to do it yourself, so you can't look for any excuse to say you can't do it!	今次你真係要落手落腳，唔可以借頭借路話唔做得嘅！
My young son is ten years old this year. A couple of weeks ago, he lost three of his teeth over several days.	仔仔今年十歳，早兩個星期，一連幾日，甩咗三隻牙。
As for his requirements, in looking for a wife of course he wants to find one who is a good match for him.	以佢嘅條件，搵老婆佢梗係要搵番個有番咁上下㗎啦。
The two of you seem to be just like godfather and godson, so why don't you enter into a ceremonial foster relationship, as it then would be perfectly justified!	你兩個好似兩仔爺噉，不如上契啦，噉咪有名有份囉！
Before you go out in your car, you can call the telephone hotline first to get an understanding of locations of speed cameras.	你出車前，可以預先打電話熱線了解一吓沙龍嘅位置。
Whatever you do, don't listen to what he says. This person is inconsistent in his words, you can't trust him.	你千祈唔好聽佢講啊，呢個人三口兩脷，唔信得過㗎。
You should be careful going out on a date with him, as some people say he likes to take the opportunity to grope a girl.	你同佢拍拖要小心，有啲人話佢鍾意趁機會索女仔油。
You need to be careful playing cards with them, as I have heard their cards have been tampered with.	你同嗰啲人打牌要小心噃，聽講佢哋啲啤牌係落焊㗎。
The best thing for you all to do is to set up a street counter there, then ask some residents what opinions they have	你哋最好擺個街站喺嗰度，就問吓啲居民有乜意見囉！
You guys should slowly talk about it, as it's not a very big matter, so don't say he's disgusting!	你哋要慢慢傾啦，唔係好大件事喎，唔好話佢PK啦！
You don't have to let me know anything about him. I won't be so stupidly looking for him to get him back.	你唔使俾我知道佢任何嘢，我都唔會咁屎𦡆痕搵番佢。
You have just started working at this company, so you need to be careful and watch your step.	你喺呢間公司啱啱開始工作，要睇餸食飯，睇燭喃嘸。
With your advanced age, finding a new job is difficult, so I think you might as well stay in your current job and not change.	你年紀咁大，搵份新工好難，我諗你做生不如做熟啦。
Your always praising him like that isn't good, and I'm afraid all that praise is going to lead to his defeat.	你成日噉表揚佢唔好㗎，我驚佢會白撞雨，灒壞咗啊。
The best thing is for you to buy a small bicycle pump, the kind that's as long as your arm. It'll save you money and effort.	你最好買小型單車泵，手臂咁長嗰啲，要慳水又慳力。
Of course, you can look for him to help you, but you should know that sometimes he can be somewhat muddleheaded.	你當然可以搵佢幫手，不過要知道佢有時癲癲廢廢噉。
You've already tried on more than ten dresses but didn't buy anything, so don't waste my time anymore!	你經已試吓咗十幾件衫，都唔買嘢，唔好喺度混吉啦！
You mean to say you will dine out with your female colleagues tomorrow night? Have you yet explained the situation to your girlfriend?	你聽晚黑同女同事食飯呀？有冇同你女朋友報定案啊？
You need to park your car, so it's more troublesome, but I don't need to be vexed. I'm not a car owner.	你要泊車就麻煩啲，但係我唔使煩喇，我係冇車階級。
You say you want to go to the beach to swim tomorrow, but I think you should take notice of any change in the weather first.	你話聽日要去沙灘游水，我話嚤囉差拜神，睇天先囉。
You're inviting all of us to go out together to eat a meal? You'll surely have to spend a lot of money this time!	你請我哋大家一齊出去食飯呀？今次你真係大出血嘍！
If you can't buy today's plane tickets, then try tomorrow's or even those for the day after tomorrow will be fine.	你買唔到今日嘅機票就買聽日嘅，甚至無後日嘅都得。
Come over here and take a look at this animated film of puppets! The puppets' talking has been nicely dubbed.	你過嚟睇吓呢齣木偶動畫片，啲木偶講嘢好夾口型嘅。
He applied to live in public housing just after getting married, but he had to wait a long time till his turn came which was only after he had become old.	佢一結婚就申請入住公屋，不過等到眼眉毛長先輪到。
This time she performed quite successfully. I can see she's quite happy and feels it was great fun.	佢今次出騷好成功喎，我睇佢好開心，覺得好好玩㗎。
He's still young and kicks the ball quite well, so he should have an opportunity to find a ball team to sign a contract and join up with.	佢仲後生，踢波踢得幾好，應該有機會搵到隊波落班。
He's a left-handed guy, so when he uses the scissors to cut stuff he always will feel it's extremely awkward and inconvenient.	佢係個左𠰋仔，用把較剪剪嘢時都會覺得非常唔就手。
He's a child and of course can't read and understand these things. I cannot blame him.	佢係個細路仔，梗係睇唔明呢啲嘢，所以我唔怪得佢。
She is the newly-crowned Miss Hong Kong. Since she is so fresh and new you can't find anyone who doesn't know about her	佢係啱啱選出嘅香港小姐，新鮮滾熱辣，邊個唔識啊？
He just forgot to bring his key and so tried to climb back up to his flat, but I thought he was a Spiderman burglar!	佢冇帶鎖匙想爬返屋企啫，我仲以為佢係飛天蠄蟧𠻹！
She didn't check carefully if the real estate had any legal issues attached to it, and as a result her down payment of three hundred thousand dollars was lost.	佢冇査清物業有冇法律糾紛，結果三十萬定金化水喇。
They gave me such a good play to perform in, and also gave me an award, so this can't be called forcibly accepting something.	佢哋畀部咁好嘅劇我拍，又畀個獎我，唔係叫做啃囉。
She didn't give the money back to me, but I know she has no money, so I can't blame her.	佢唔畀番啲錢我，但係我知佢冇錢，所以我怪唔得佢。
He scarcely talks about his own affairs, so if you ask him when he'll get married, he will definitely say things to mislead and confuse you.	佢啲私事收得好埋，問佢幾時結婚，佢實帶你遊花園。
He changed the score to 1 to 0 with his superb strike from 30 yards away.	佢喺三十碼外射入一球世界波，將比數改寫成一比零。
When he was stopped by the cop for violating traffic rules, he flaunted his superiority by saying he was the son of a high official.	佢喺俾差人抄牌嘅時候就撻咗朵，話自己係高官個仔。
His report will be discussed tomorrow morning. If he doesn't burn the midnight oil he won't get it done in time.	佢嘅報告係聽朝討論嘅，今晚唔戙起牀板就趕唔切喇。
He said all sorts of things without showing consideration for me, and it really made me feel ashamed so that I wanted to hide.	佢好唔畀面噉將啲嘢講晒出嚟，攪到我真係想搵窿捐。
He got completely thrown to the ground. There were several seconds when he couldn't move. Luckily at the very end he was all right!	佢成個人撻落地，有幾秒唔郁得，好彩最後都冇事喇！
He always promises to do anything no matter how difficult, but whether he really helps you do it, sooner or later you'll know.	佢時時托塔都應承，係咪真係幫你做，遲早你會知道。
Every time he eats in a restaurant with friends and the bill comes he uses the pretext of going to the toilet to disappear, so he really exploits other people to get a free meal.	佢次次同朋友食飯埋單都借尿遁閃咗人，正一菠蘿雞。
Every time when he eats in a restaurant with friends and the bill comes he uses the pretext of going to the toilet to disappear, so he really takes advantage of other people.	佢次次同朋友食飯埋單都借尿遁閃咗人，正一菠蘿雞。
He really angered me, and the result was I couldn't control myself, so then I slapped him right on his face.	佢真係激死我，結果我忍唔住，就兜口兜面冚埋佢度。
He suddenly hit the cue stick to the side, maybe he was too tense holding the cue stick and then miscued the shot.	佢突然篤歪咗支Q棍，或者佢揸住Q棍太緊張就撻Q。
It's the first time he spoke before so many people. He still behaved in such a genteel and relaxed manner, so it's something really rarely seen.	佢第一次對住咁多人講嘢，都咁斯文淡定，真係難得。
After she saw her grades were so poor, she stood there like that with her head down and broke into tears.	佢見到啲成績咁差之後，就頭耷耷，眼濕濕噉企喺度。
He's experienced being defeated by an unskilled student, so of course now he's quite unhappy.	佢試過俾個學生盲拳打死老師傅，梗係而家好唔高興。
He said he had chosen for us three novice hikers the hiking trail without difficulty.	佢話佢為我哋呢三個行山初哥揀咗個冇難度嘅行山徑。
He said if you don't know how to speak Putonghua when you go to restaurants in Toronto, you basically can't order stuff to eat.	佢話喺多倫多去食肆唔識講普通話，根本叫唔到嘢食。
He said he went to a karaoke place last night, but I don't know whether the one he went to was decent and respectable or not.	佢話琴晚落過K場喎，我就唔知佢係咪去正經嗰隻嘞。
He bought a Go set and asks people to play with him everyday, but it appears to be no more than an enthusiasm that will quickly fade away.	佢買咗副圍棋，日日要人同佢捉，睇嚟都係新屎坑啫。
He sells three kinds of vodka: Absolut Vodka, Smirnoff Vodka, and Grey Goose Vodka.	佢賣三種伏架：瑞典伏架、皇冠伏架、格蘭高士伏架。
If you are caught by that insurance agent, he will persistently pester you, and it will be very difficult for you to escape from him.	俾個保險經紀𢱑住你，佢實死纏爛打，你好難走得甩。
When the woman crossed the street the minibus hit her, her right leg was also run over by the vehicle's wheel.	個女人過馬路時俾架小巴撞到，佢右腳都俾車轆輾過。
My domestic helper has been working for me for three months. These past few days she says she has a toothache, what should I do?	個姐姐嚟咗三個月，呢幾日話自己牙痛啊，我點算啊？
The girl student very calmly used her mobile phone to video the flasher's disgusting behavior.	個學生妹好冷靜噉用手機影低個露械狂乞人憎嘅行為。
The youth jumped to his death. His family told the police he was suffering from early psychosis.	個後生仔跳樓死咗，屋企人同警察講，佢有思覺失調。
The boy said, "As soon as my hand grasps her breast I then know what the girl's bra size is!"	個男仔話，我一手揸落去就知道條女係乜嘢CUP數！
The hooker complained that after she jerked off the cop he left without paying any money	個鳳姐投訴，幫差人打飛機之後，佢就走人唔畀錢喎！
Both gangs want to monopolize the profits in the ship casino, so this time let's wait to see how things lead to a gang brawl.	兩幫人都想獨佔賭船嘅利益，今鋪大家等睇大龍鳳啦。
The two factions will go to the same place at the same time, so this time it will certainly turn into total chaos.	兩派人去埋同一個地方，今次實做到場六國大封相啦。
In fact I've used this card all along and have used it for more than three years. I've never been charged a fee for it.	其實呢張咭我一路都用得用咗三幾年，都冇叉廚我啊。
In fact quite a few massage parlors offer both legal and illegal massage services, and the only thing is it may be not very clear that it's a massage place in which illegal sexual services are available.	其實好多骨場都有正有邪，只要唔係好明係邪骨嘅場。
As a matter of fact I'm a muddled and forgetful mommy, so I'm always afraid I'll forget any matter	其實我係個大懵媽咪，所以成日都驚會記錯任何事件！
As a matter of fact, I'm a muddled and forgetful mommy, so I'm always afraid I will forget any matter	其實我係個大懵媽咪，所以成日都驚會記錯任何事件！
In fact I was really suppressing my anger, but I still so calmly and kindly said some things to him.	其實我真係頂住條氣，但仲係好聲好氣噉同佢講啲嘢。
As it turns out my home return permit had expired for more than two years. A little later on I need to go get a new one.	原來我張回鄉咭都過咗期兩年幾，遲啲要去攞張新嘅。
This week I had a long run. As soon as I started I then felt I hadn't any strength. I was really suffering.	呢個星期我跑長課，一開始就覺得我冇咩力，真辛苦。
This fan acted so boldly that he surprisingly went up on the stage and gave his idol a kiss.	呢個歌迷都飛擒大咬嘍，竟然走上舞台錫佢偶像一啖。
As soon as this tactless guest comes, I'm afraid we're not going to be able to go to sleep earlier tonight as we had wanted.	呢個糯米屎𦡆一嚟，睇怕我哋今晚想早啲瞓都唔得啦。
Not only does this gweilo speak Cantonese, but he even speaks quite standard Putonghua as well.	呢個鬼佬唔只識講廣東話，仲識講好標準嘅普通話𠻹。
This district is controlled by triads, so if you want to do business here, you need to pay protection money to them.	呢區係黑社會嘅地盤，如果你想做生意，都需要派片。
This district is controlled by triads, so if you want to do business here, you need to pay protection money to them.	呢區係黑社會嘅地盤，如果你想做生意，都需要派鬼。
The tickets for this match had been sold out long ago, but I was able to go in to watch the match only because I bought a returned ticket.	呢場波啲飛一早賣晒，我係執死雞先至入得到場㗎咋。
In this conflict, nobody made concessions or lost anything, so they ended up being equally matched.	呢場爭拗，大家都冇讓步，亦都冇乜損失，打和收場。
As for this race, Horse Number Three was strongly favored but surprisingly lost, so it really made us very disappointed.	呢場賽事，三號馬竟然大熱倒灶，真係令我哋好失望。
This painting may be rather more expensive, but it was done by a distinguished painter, so it can be considered worth its price.	呢幅畫係貴咗啲，不過出自名家之手，都算物有所值。
This will be eight hundred and thirty dollars, but I'll give you a discount, so eight hundred dollars, okay?	呢度八百卅呀蚊，不過我收你順啲啦，八百蚊好唔好？
Recently some people were again writing letters to businesses for the purpose of extorting money, so you can't say this problem is not severe.	呢排又有幾個人打單，所以唔可以話呢個問題唔嚴重。
This chap is so calculating and selfish that it's rather difficult to make any good profit when doing business with him.	呢條友係密底算盤嚟嘅，同佢做生意好難搵到乜嘢錢。
As for this exam, I am very sure and confident, because I knew all the answers to the exam questions.	呢次考試，我定過抬油，因為我識答晒啲考試嘅問題。
This bowl of soup can't be considered to taste especially good, but it's under twenty dollars, so in fact that's quite cheap.	呢碗湯唔算好好飲，但係二十蚊有找，實在好平嘅噃。
I've already used these tweezers for three years. They're quite good to use. Even little hairs can be plucked.	呢隻眉鉗我經已用咗三年，幾好用嘅，細毛仔都鉗到。
Just as the boss said that everybody must struggle hard to make a living in this coming year, he then increased our salaries.	呢頭波士話嚟緊呢年大家要捱世界，嗰頭佢就加人工。
I worked so hard to get it done, but now he rejected it, so it's really a waste of my time and energy.	咁辛苦做出嚟，佢而家話唔要，真係嘥心機，捱眼瞓。
Hey! Don't talk so much! Are you actually going to do it or not? Hurry up and tell me!	唏！唔好講咁多啦！你究竟做唔做啊？快啲講我知啦！
The high officials always talk but never do anything constructive, so as a result there has been no improvement in our conditions here.	啲官員成日都隨口噏，結果我哋呢度嘅情况冇乜進步。
I saw the madam and three girls sitting there inside the room watching TV.	喺間房入便我見到個女雞頭同埋三條女坐响度睇電視。
In Hong Kong you can use cash to pay your water bill at any Circle K convenience store.	喺香港你可以喺任何一間OK便利店用現金繳交水費。
That salesman can be considered conscientious, his service attitude is also quite good.	嗰位sales哥哥都算負責，佢嘅服務態度都幾好。
That boy is especially ugly. He's so ugly he scares people. That's why I especially recognize him!	嗰個男仔特別樣衰，樣衰到嚇人，所以我特別認得佢！
That old bastard is well over seventy years of age, but still he says flattering things all the time to the pretty girls.	嗰個老而不都七十幾歲啦，仲成日對住啲靚女口花花。
Because I ignored him, his expression then made a hundred and eighty degree turn, and it changed to be quite unfriendly.	因為我唔理佢，佢面口就一百八十度轉變，變到好差。
Sit down first and think about why that matter didn't go well, as that's better than making an unbelievable excuse for your failure.	坐低先諗吓點解嗰單嘢唔掂，好過屙屎唔出賴地硬喎。
The one sitting next to me talks constantly, and for a long time I've been wanting to tell him to keep his mouth shut.	坐我隔籬位嘅人周時無日噉講嘢，我想叫佢收聲好耐。
Everybody is very busy, so the husband and wife can only share a meal together one or two times a week.	大家都好忙，兩公婆一個星期淨係可以撐一兩次枱腳。
During the summer I rarely cook meals at all. I will usually eat outside before going back home.	大熱天時我都好少煮食，通常會喺外出食埋先返屋企。
Frankly speaking, in case you had an accident, who would take care of your mother?	好話唔好聽，如果你有乜嘢意外，你阿媽邊個照顧啊？
If your renter has been a flop by being unable to pay the rent and absconding, what are you going to do?	如果你個租客炒咗粉，交唔起租走埋路噉，你會點啊？
If you want to do business here, then you should also be prepared to encounter government officials who are corrupt and accept bribes.	如果你想喺呢度做生意，你都要準備碰到啲官會刮龍。
If you want to keep the pot of food fresh and piping hot, then you need to use this induction cooker!	如果你想喼住盆菜新鮮滾熱辣，就要用呢個電磁爐啦！
As soon as Mommy holds the baby he cries, but as soon as the helper holds him he then very quickly shuts up.	媽咪一抱住BB佢就喊，但工人一抱住佢就好快收聲。
As far as quite a lot of workers are concerned, it's ordering a takeout lunchbox that takes care of the midday meal.	對好多打工仔嚟講，中午都係嗌外賣一個盒仔飯攪掂。
Cops and gangsters acted together to set up a fake raid and all those arrested were just unimportant underlings.	差佬黑幫夾計做場大龍鳳，拉嘅人全部都係蝦兵蟹將。
The situation is not ideal, but it still has advantages for him, so therefore he can be flexible and restrain his temper.	情况唔係理想，但對佢仲有利，所以有便宜唔使使頸。
As soon as I entered the flat I heard my friend's girlfriend moaning and crying while having sex. She was even extremely noisy.	我一入到間屋就聽到朋友條女叫牀，仲叫到鬼殺咁嘈。
During the time I was in middle school I already began to like hiking, so roughly speaking, I've been hiking for more than ten years.	我中學時代開始經已鍾意行山，大大話話行咗十幾年。
This morning when I parked my motorcycle I had also fitted the cover over it, but in the afternoon a strong wind blew off the cover.	我今朝泊電單車時都落咗冚，但下晝大風吹甩個車冚。
This morning when I parked my motorcycle I had also fitted the protective cover over it, but in the afternoon a strong wind blew off the protective cover.	我今朝泊電單車時都落咗冚，但下晝大風吹甩個車冚。
This morning when I parked my motorcycle I had also fitted the protective cover over it, but in the afternoon strong wind blew off the protective cover.	我今朝泊電單車時都落咗冚，但下晝大風吹甩個車冚。
I hardly say anything to my coworkers. Ordinarily it's only when I'm in a good mood that I will chat with them a bit.	我同同事冇乜兩句，平時係心情好先會同佢哋傾幾句。
I've been together with the chick for a whole month, but I still don't know if I like her.	我同咗條女一齊都有成個月，但仲未知我鍾唔鍾意佢。
This morning we were out walking on the street and suddenly it was raining cats and dogs, luckily we had all brought umbrellas!	我哋今朝行行吓街突然落狗屎，好彩大家都有帶遮喎！
When we were traveling in Japan, we took the opportunity to soak in the hot springs while looking at the red leaves.	我哋去日本旅行時，趁機會一邊浸溫泉，一邊睇紅葉。
After we had ordered something to eat we had waited for what must have been well in excess of half an hour and we still didn't have anything to eat.	我哋嗌咗嘢食之後等咗應該有超過半個鐘都未有嘢食。
We hope we can take the cross-boundary bus from the Shenzhen airport and go straight to Tsim Sha Tsui.	我哋希望可以直接喺深圳機場坐跨境巴士去到尖沙咀。
We knew the situation was quite serious, so we then took a taxi to go to the hospital to see grandpa for the last time.	我哋知道情況好嚴重，就飛的去醫院見爺爺最後一面。
Soon after we get married we're thinking of having a son, and then we'll wait two years after that and try for a girl.	我哋諗住結婚冇耐就生個仔，然後等兩年後再追個女。
When we hold meetings we take turns taking the minutes, so as you are a new member, you do it this time.	我哋開會輪流做記錄嘅，你新嚟新豬肉，今次你做啦。
I don't understand why racehorse trainers can gamble on horses, but the jockeys can't.	我唔明白點解啲練馬師可以賭馬，但係啲騎師唔可以。
I don't know what the problem is with this Octopus card reading machine. I had swiped the card against it twice, but nothing happened.	我唔知呢部八達通機黐咩筋，掃咗張咭兩次，都唔得。
I don't feel calling someone 'gweilo' is discriminatory, since the gweilos in my company call themsleves 'gweilo'	我唔覺得叫鬼佬係歧視，我公司啲鬼佬都叫自己做鬼佬
I asked her if she were afraid her younger sister would get married before she did, she then said it was all right and didn't matter to her.	我問吓佢驚唔驚俾妹妹扒頭，佢就話唔介意都OK啊。
I've just started working as a shop assistant. I never thought I would be so busy with this job that I couldn't get away from it even for a short time.	我啱啱開始做舖頭伙記嘅，想唔到呢份工會咁黐身嘅。
All my friends know I've tied a fake bun into my hair as a compensating device, because all along I've not had a lot of hair.	我啲朋友都知我紥髻裝假狗㗎，因為頭髮一向都好少。
My friends, no matter whether they're men or women, all like to go to Shenzhen to have a massage.	我啲朋友，無論係男定女，都好鍾意返深圳𢱕骨按摩。
I don't want to be an insurance broker because I would have to run around all over the place in a monkey suit all day.	我就唔想做保險經紀嘞，成日要着住件馬騮衣周街走。
When the time comes I hope you're especially sharp and clever. I wish you good luck and that you do better on your exam	我希望到時你醒醒定定啲啦！祝你好運！考試好啲喇！
